cpu_usage,gpu_wrk_util,avg_mem,max_mem,avg_gpu_wrk_mem,max_gpu_wrk_mem,read,write,read_count,write_count,memory_pressure,is_init_failure,cpu_gpu_imbalance,gpu_stress_score,gpu_/dev/nvidia1,gpu_/dev/nvidia2,gpu_/dev/nvidia3,gpu_/dev/nvidia4,gpu_/dev/nvidia5,gpu_/dev/nvidia6,gpu_/dev/nvidia7
19.157894736842103,0.0,0.2832496279761905,0.326171875,0.0182439630681818,0.1337890625,32322489.95652174,29380529.217391305,9052.826086956522,6107.130434782609,0.06440948642557566,1,19.157894736842103,0.0,0,0,0,1,0,0,0
33.25,0.0,0.2706380208333333,0.4091796875,0.033447265625,0.1337890625,35296406.5,41531614.4375,6760.4375,4436.125,0.12358672119316816,1,33.25,0.0,0,0,0,0,0,0,1
32.51851851851852,0.0,0.3052936422413793,0.646484375,0.032293911637931,0.1337890625,28971081.83870968,21948920.870967746,9220.193548387097,5489.645161290323,0.1057798367527023,1,32.51851851851852,0.0,0,0,0,0,0,1,0
41.647058823529406,0.0,0.3558285361842105,0.9443359375,0.033447265625,0.1337890625,46506539.33333334,39561693.38095238,11608.142857142857,6176.0,0.0939982666474072,1,41.647058823529406,0.0,0,0,0,0,0,0,0
128.7478260869565,1.2413793103448276,2.9231798895474137,6.17578125,0.1798390355603448,0.4677734375,96641640.5762712,5796054.245762712,2323.8898305084745,963.0677966101696,0.06152171346122277,0,127.50644677661168,1.3944708370150908e-05,0,0,1,0,0,0,0
63.6,0.0,0.53095703125,0.9912109375,0.0729758522727272,0.1337890625,53608822.33333334,55027241.66666666,8684.25,3313.583333333333,0.1374421054391625,1,63.6,0.0,0,1,0,0,0,0,0
80.11214953271029,0.0,2.4691228693181824,4.4716796875,0.1292019065366972,0.1943359375,24453745.01801802,6159844.882882883,2042.5765765765768,609.6756756756756,0.05232704623256545,1,80.11214953271029,0.0,0,0,1,0,0,0,0
75.8440366972477,0.0,2.8865678267045456,5.5205078125,0.1518686655405405,0.4677734375,13689093.25,5994402.098214285,1006.2321428571428,471.58928571428567,0.052612193670128156,1,75.8440366972477,0.0,0,0,0,0,0,0,1
133.1904761904762,0.0,1.7360733695652173,2.81640625,0.4412027994791667,0.8759765625,283527646.0,26970850.88,38004.24,4403.84,0.2541383372464619,1,133.1904761904762,0.0,0,0,0,0,1,0,0
60.66666666666666,0.0,0.4078776041666667,0.73828125,0.0,0.0,58420415.09090909,59979216.0,9407.363636363636,3568.7272727272725,0.0,1,60.66666666666666,0.0,0,1,0,0,0,0,0
321.99386503067484,3.682926829268293,2.1890839367378048,3.8046875,0.8466796875,1.4658203125,435378715.7891566,5066843.9337349385,8703.156626506025,5055.385542168675,0.3867735143869041,0,318.31093820140654,0.00019477499409070669,0,0,0,0,0,0,0
133.64705882352942,1.263157894736842,1.486328125,3.8701171875,0.464124177631579,0.8447265625,87428230.5,33314364.7,8636.55,2409.2,0.312262258800747,0,132.38390092879257,3.661953303083163e-05,0,0,0,0,0,0,0
13.38345864661654,0.0,0.5208668428308822,0.892578125,0.0,0.0,4962759.145985401,4851225.927007299,975.3284671532848,375.2408759124089,0.0,1,13.38345864661654,0.0,0,1,0,0,0,0,0
32.06666666666667,0.0,0.2697035845588235,0.404296875,0.0,0.0,39220049.15789474,35264471.05263158,9273.315789473683,4973.578947368421,0.0,1,32.06666666666667,0.0,0,0,1,0,0,0,0
53.70967741935484,0.0,0.6997218276515151,1.7998046875,0.0826344209558823,0.1337890625,24768978.457142856,19534303.057142854,8810.885714285714,5592.571428571428,0.11809610289453056,1,53.70967741935484,0.0,0,0,0,0,0,0,0
72.84210526315789,0.0,0.882533482142857,1.8818359375,0.0700799851190476,0.1337890625,29483162.0,29290832.43478261,8995.565217391304,5961.347826086957,0.07940773527242069,1,72.84210526315789,0.0,1,0,0,0,0,0,0
27.83251231527093,0.224390243902439,0.7654909620098039,4.5009765625,0.1334889481707317,1.3466796875,17681944.009708736,3293187.131067961,977.8932038834952,467.7087378640777,0.17438344121040328,1,27.60812207136849,1.870984760464319e-06,1,0,0,0,0,0,0
456.7391304347826,11.283422459893048,4.592551731418919,6.1015625,0.4269197025401069,0.5283203125,85258588.60962567,3679602.272727273,2386.1176470588234,1135.8342245989304,0.09295914940259267,0,445.45570797488955,0.0003008901808517378,1,0,0,0,0,0,0
49.25,0.0,0.4072265625,0.4853515625,0.0,0.0,95208105.0,97919138.5,14300.625,5867.25,0.0,1,49.25,0.0,0,0,1,0,0,0,0
70.5,0.0,0.15625,0.302734375,0.0,0.0,49064639.0,67131124.6,5688.4,3915.4,0.0,1,70.5,0.0,0,1,0,0,0,0,0
7.833333333333332,0.0,0.2214006696428571,0.296875,0.0,0.0,56240092.88888889,73418185.44444445,6769.8888888888905,4339.444444444444,0.0,1,7.833333333333332,0.0,0,0,0,0,0,0,1
28.592592592592588,0.0,0.7622912176724139,0.9296875,0.1165259576612903,0.1337890625,38493834.77419355,38991511.38709678,4914.129032258064,2426.903225806452,0.1528627838808003,1,28.592592592592588,0.0,0,0,0,0,0,0,0
85.25,0.0,0.8759321732954546,2.9150390625,0.0989724864130434,0.1826171875,163604814.29166666,40518311.66666666,12375.916666666664,11327.875,0.11299103906719919,1,85.25,0.0,0,0,0,0,0,0,1
70.29032258064517,0.0,1.210357666015625,3.9287109375,0.12054443359375,0.1826171875,115338680.70588236,28736363.35294117,8899.85294117647,8852.264705882353,0.09959405965558105,1,70.29032258064517,0.0,0,0,0,0,1,0,0
72.80952380952381,0.75,0.5141389266304348,3.546875,0.1430257161458333,0.3408203125,150341623.12,37851869.04,11885.8,6851.4,0.2781849588460373,1,72.05952380952381,6.700332623289512e-06,0,0,0,0,0,1,0
15.90643985419198,0.0,6.803303740530303,7.2734375,0.2844646167524213,0.2900390625,1084965.9963724306,136940.28295042322,207.53325272067715,199.1160822249093,0.04181271740929913,1,15.90643985419198,0.0,0,0,0,0,0,0,0
110.92057514549812,1.5897435897435896,2.371515379105371,2.474609375,0.3464850427350426,0.3466796875,133078140.51213676,490641.2406837607,3625.933675213675,1498.8738461538462,0.14610280236333545,0,109.33083155575453,3.440586986756826e-05,0,0,0,0,0,1,0
9.5,0.0,0.2587076822916667,0.30078125,0.0,0.0,34560544.57142857,47339840.07142858,4453.928571428572,2785.857142857143,0.0,1,9.5,0.0,0,0,1,0,0,0,0
14.51851851851852,0.0,0.3200094288793104,0.6787109375,0.05810546875,0.2490234375,29892919.80645161,30549980.12903225,9368.741935483871,7333.032258064517,0.18157423971377457,1,14.51851851851852,0.0,1,0,0,0,0,0,0
30.181818181818183,0.0,0.2828275240384616,0.333984375,0.0177873883928571,0.2490234375,44432767.73333333,53155973.46666667,7647.933333333332,5283.2,0.06289129197495714,1,30.181818181818183,0.0,1,0,0,0,0,0,0
